,mean_abs_shap
contrast__shock__sp_centroid_hz__p90,0.0006121686876543255
other__vib__zcr__mean,0.0006104403541331453
self__vib__wlfrac3__max,0.000599448140934102
other__vib__wl_entropy__std,0.0005991425952892452
self__shock__wlfrac4__max,0.0005967572423815895
other__vib__sp_rolloff95_hz__max,0.0005961112554088234
other__vib__impulse__max,0.0005941729019148949
contrast__vib__peak__std,0.0005900668142731688
other__shock__wlfrac1__mean,0.0005847024087880363
self__vib__wl_flatness__max,0.0005771999260673062
contrast__shock__std__median,0.0005729593187018121
self__vib__wl_entropy__std,0.0005694291838361483
other__vib__wl_centroid_m__p90,0.0005680781298474339
other__vib__kurtosis__max,0.0005642783345049429
contrast__vib__impulse__median,0.0005625482162820241
self__shock__sp_spread_hz__median,0.0005567710670517981
self__vib__wlfrac4__mean,0.0005557533341510215
contrast__shock__kurtosis__p90,0.0005556544236120196
contrast__shock__sp_spread_hz__median,0.000547225046304704
other__shock__kurtosis__std,0.0005418784681448225
contrast__vib__sp_entropy__std,0.0005400139730872614
contrast__vib__wl_centroid_m__mean,0.0005396840390433594
other__vib__crest__mean,0.0005377765587347645
other__vib__wlfrac3__mean,0.000531719772553003
self__vib__wlfrac1__mean,0.0005245901796460508
other__vib__wl_flatness__std,0.0005233069194458691
contrast__vib__skewness__median,0.0005227483100251657
self__shock__wlfrac1__median,0.0005216725480615689
self__vib__crest__mean,0.000513460245126992
contrast__shock__wlfrac2__std,0.0005096947258217264
other__vib__wlfrac1__max,0.0005084164043259895
other__shock__wl_centroid_m__p90,0.000503101121280394
self__vib__kurtosis__mean,0.0005007589703573307
other__vib__wlfrac4__max,0.0005000966103924484
self__vib__wl_centroid_m__median,0.0004996294143481164
contrast__shock__impulse__median,0.0004974548741552761
other__shock__wlfrac2__max,0.0004973398710524793
self__shock__wlfrac3__mean,0.0004958456126197109
contrast__shock__std__std,0.0004922531077360343
contrast__shock__sp_rolloff95_hz__mean,0.0004915623159613865
other__shock__wlfrac1__std,0.0004893919656399459
contrast__shock__wl_flatness__max,0.00048735278270592734
contrast__vib__impulse__max,0.0004844727222366877
self__vib__skewness__p90,0.0004791423993758442
contrast__shock__peak__median,0.00047898702232557417
other__vib__sp_flatness__p90,0.0004720032443844496
other__vib__sp_entropy__median,0.00046775451195572214
self__vib__impulse__p90,0.0004552601422397179
other__shock__wl_centroid_m__median,0.0004546506386697612
other__vib__zcr__std,0.00045316094084193456
self__vib__impulse__mean,0.0004445624977131932
contrast__vib__wlabs2__max,0.0004441455763883766
contrast__vib__wlfrac4__median,0.0004435060133997009
other__vib__wlfrac2__median,0.0004401796030688575
other__shock__skewness__median,0.000439961301277743
other__vib__sp_spread_hz__p90,0.0004398758942852273
